content
"Received items not the same as advertised.
Theey are thin and very light.
Quality not satisfactory.. 
Size slightly smaller.
What a waste...although its cheap."
the item not as advertised
dalam gambar tebal dah terima selipar tipis..boleh utk kgunaan dlm ruma kalau utk jalan xtahan lama
"order green dapat Oren, sad."
oder black and green but arrived black and yellow 👎
"Material:it not as good as picture. does it a little same？no! my foot is 39 size, and I bought 40-41sige."
很很薄很薄😔
produk langsung tak sama dengan gambar yang diiklankan...... nipis macam selipar yang dah dipakai
"mntak satu hitam n satu kelabu, tp yg dpt ye dua2 hitam 👎"
order hitam so kelabu so tp yg smpai dua2 hitam.. 🥴
"Not happy with seller.
Purchased Orange and Black.
They send Yellow and Grey. 🤨🤨🤨😡😡😡😡😡😡😡"
"Size:true to size . Design:Design for light blue color slightly different, soles not as thick as other colours thus less comfortable."
nipis... tak sperti beli sebelum nie....beli sebelum nie sama seperti gambar... tapi yang kali nie dapat lain dari gambar😌😌
Bought pink colour but received in white colour. Even  the order stated in pink colour. Is a very careless supplier.
u sent me a differ design slipper. Very Funny. I wont buy from you already.
I ordered yellow but received this colour. I need refund
Dishonest seller. Pls do not get cheated. Item delivered is different from advertised. Not thick slippers like shown. Light and thin.
"-Fast delivery 
- bad quality
- can’t be use in outdoor 

Just received and use it one time. 
Just spoiled it. Not steady."
what a poor quality not soft at all 👎
I'm ordered size38-39..but seller sent wrong size to me size40-41..& ignore my message.. terrible
I bought the shoes according to the size chart given. But in the end this is what I get. My size is us 10.
"picture show different blue and send different blue
disappointed ☹️"
Terima kasih terima barang tidak sama dgn gambar iklan.. semoga bisnis awk makin maju dgn cara yg betul yer syg
Bahan：Not good quality .👎👎👎👎👎
quality very low cannot buy and cannot refund Design:the pic is copy，quality not same
"What a lie by seller. It's not like the advertisement. It's too thin. See the picture. The blue one is what I bought from this seller and compare to my old almost 3 yrs black color, which is thick.

This seller is not sincere. Susah aku nak halalkan. Don't buy."
"1) delivery vthin time range. 

2)  seller din do good job cos I ordered GREEN,  but sent me yellow colour. 

3) quality is xtremely flimsy n poor, slipper received not as seller advertisement or image shown THICK SLIPPER. Thickness of slipper is only 1cm.

4) price is cheap but seller NOT honest, shouldn't put THICK instead of SLIM SLIPPERS."
"Color didn't give correctly and the material not same as the picture, worst experience Material:not same as picture quite hard"
"Very sad because of false advertising. Item being promoted was the thick slipper, but all I got was this thin slipper that's not nice to walk in. Fortunately it was only RM7 at purchase."
货不对板 商家又不回复 只给表情
Toi thin different picture😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣
Design:MENYESAL BELI SEBAB TAK TEBAL MACAM IKLAN!
slipa nipis sgt
important to up 1 size
"Buy 1 black 1 blue, but come both black colour"
Nipis sikit x sama macam model yg tebal 4inch tu 😝😅😢😞
Design:selipar dia nampak nipis sbb dlm gmbr mcm tebal
"Size:  order size 36/37 , yg dapat 38/39 . Besar gilerrrrr , spoil mood nak buat pakai time bersalin nanti 😪 Chat seller , tak respon langsung . Padahal dah read baca tu , kalau size and colournya takde . Inform dulu customer , jgn main pos je size and colour lain pada customer !!!!!!!"
nipis.. huhuu
I bought creamy green colour but i received sharp yellow. Dissapointed Design:
dlm gmbr lain dpt lain
"Received different size and colour, even not the same type of slipper of the pic showed."
Material:Good not at the picture listed.Next times won't buy with the seller.
"Actual item is not as described. The sole is not thick as advertised in the pictures. The whole slipper also feels rather flimsy. Out of the 6 pairs I bought, one pair was wrong size and another pair was wrong colour. Attempt to communicate with the seller is unsuccessful. Can see they are online but they just ignore my message. Poor customer service. Stay away Do not buy from them."
tidak sesuai pesanan.pesan warna biru yang datang beda
